index,axis-0,axis-1,axis-2,axis-3
156.0,150.0,5.99000999000999,664.4965034965035,786.3786213786213
157.0,152.0,6.569023569023569,433.6776094276094,628.3005050505051
158.0,152.0,7.105405405405405,763.2405405405406,491.5851351351352
159.0,152.0,8.34412955465587,799.8866396761133,464.3805668016194
160.0,153.0,5.64935064935065,486.3766233766234,565.2964094728801
161.0,153.0,6.876619370758791,517.0320789636028,625.2985811227637
162.0,154.0,5.674185463659148,756.0918964076859,716.5271512113617
163.0,155.0,7.841640378548896,435.2908517350158,592.7343848580441
164.0,156.0,6.431578947368421,469.3256140350877,644.3059649122807
165.0,157.0,5.678595543551654,881.5178933153275,679.0256583389602
166.0,158.0,7.907292954264524,330.86526576019776,664.5611866501854
167.0,158.0,6.389307228915663,886.9397590361446,717.1543674698795
168.0,158.0,8.017241379310345,913.6485411140584,596.3992042440318
169.0,159.0,7.130648330058939,564.2416502946954,459.5933202357564
170.0,159.0,7.616766467065868,754.6302395209581,648.995508982036
171.0,159.0,5.296096096096096,969.6696696696696,621.6672672672672
172.0,160.0,5.959036144578313,923.556626506024,555.3168674698795
173.0,161.0,5.618831168831169,972.0974025974026,686.688961038961
174.0,161.0,5.566074950690335,909.706114398422,715.9940828402367
175.0,161.0,6.646153846153847,954.4230769230768,646.2076923076924
176.0,162.0,5.258976317799847,481.0206264323911,223.475935828877
177.0,164.0,6.761229314420804,452.59022852639873,570.1481481481482
178.0,165.0,6.552666666666667,200.178,519.2246666666666
179.0,168.0,8.258531540847983,621.3764219234747,302.9855222337125
180.0,168.0,5.75421863536317,755.5407190022011,226.82098312545853
181.0,168.0,5.383861236802414,852.2745098039215,777.0331825037707
182.0,169.0,8.990853658536585,662.3079268292682,288.4329268292683
183.0,169.0,5.745566692367,615.7787201233616,340.10100231303005
184.0,169.0,5.957330415754924,676.4409190371991,201.1159737417943
185.0,170.0,6.515723270440252,379.37316561844864,517.40321453529
186.0,170.0,6.220381110190555,951.8815244407622,673.6478873239437
187.0,171.0,5.900932400932401,314.4143356643357,781.8997668997669
188.0,171.0,6.291910902696365,544.8804220398594,242.03751465416173
189.0,171.0,5.106583072100314,973.9780564263324,734.9224137931035
190.0,172.0,5.385480572597137,530.2208588957055,232.79345603271983
191.0,172.0,6.368131868131868,846.2994505494505,296.38461538461536
192.0,172.0,5.940371456500489,424.65102639296185,663.624633431085
193.0,173.0,5.700102354145343,334.2507676560901,354.7645854657114
194.0,173.0,6.074162679425838,768.8492822966507,242.6806220095694
195.0,175.0,6.669975186104218,811.287841191067,302.8089330024814
196.0,175.0,6.701075268817204,638.8566308243728,329.17562724014334
197.0,175.0,5.375156054931336,409.2721598002497,473.5505617977528
198.0,177.0,6.120236530880421,233.03810775295665,430.6090670170828
199.0,177.0,5.677115987460815,710.3908045977012,201.0208986415883
200.0,178.0,5.206112852664577,728.1347962382445,184.12382445141063
201.0,179.0,4.678004535147393,822.2074829931972,234.67913832199545
202.0,179.0,4.8789932236205225,800.9525653436592,216.9709583736689
203.0,179.0,6.605050505050505,703.6404040404041,563.5373737373737
204.0,179.0,7.272151898734177,650.4050632911392,837.9525316455696
205.0,180.0,5.427963094393187,529.8310858765082,803.513839602555
206.0,180.0,4.383384146341464,910.2560975609756,638.6272865853658
207.0,180.0,4.705776173285199,935.9765342960288,758.6516245487364
208.0,181.0,6.190168175937904,348.07438551099614,827.7593790426909
209.0,181.0,4.794642857142857,948.920918367347,560.890306122449
210.0,182.0,4.625721352019785,860.2176422093982,260.8961253091509
211.0,182.0,4.916604057099925,775.3380916604057,488.89706987227646
